"Nº","TITULO","AUTOR","URL","UBICACION","IMAGEN","FECHA","DISTRITO"
435,"El Nacimiento de Gran Canaria (piedra artificial)","Abraham Cárdenes",,"Jardines Alonso Quesada","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/435.JPG","C. 1960","DISTRITO CENTRO"
436,"Alegoría del antiguo Puente de Palo","Anónimo",,"C/ Lentini, esquina Triana","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/436.JPG","C. Último cuarto del siglo XX.","DISTRITO CENTRO"
454,"Fuente en la Plazoleta de Emilio Ley","Anónimo",,"Cl. Pío XII - Plaza de Emilio Ley","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/454.JPG","C. 1958","DISTRITO CENTRO"
457,"Fuente de Las Ranas en la Plaza Hurtado de Mendoza","Enrique Spinola González y Enrique Spinola Cabrera (Proyecto reforma de la plaza); Juan Correa (ranas)",,"Plaza Hurtado de Mendoza","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/457.JPG",2001,"DISTRITO CENTRO"
458,"Fuente en la Plaza Rafael O’Shanahann","Anónimo",,"Plaza Rafael O’Shanahann  - Calle León y Castillo","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/458.JPG",2001,"DISTRITO CENTRO"
654,"Monumento a José Comas Quesada","José Perera Valido",,"Alameda de Colón","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/654.JPG","C. 1995","DISTRITO CENTRO"
666,"Monumento  Juan Bravo Murillo","Ana Luisa Benítez","http://www.analuisabenitez.com/","Paseo Tomás Morales","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/666.JPG",2002,"DISTRITO CENTRO"
710,"Planeta Ella","Carmela García","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=237&Itemid=310","Jardines de Nicolás María Rubió","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/710.JPG",2004,"DISTRITO CENTRO"
716,"Cordialidad","Juan José Gil","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=789&Itemid=911","Plaza de Antonio Betancor Massieu","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/716.JPG",2004,"DISTRITO CENTRO"
753,"Otomana","Leopoldo Emperador","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=39&Itemid=84","Plaza de los Derechos Humanos","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/753.JPG",2007,"DISTRITO CENTRO"
435,"El Nacimiento de Gran Canaria (bronce)","Abraham Cárdenes",,"Parque Doramas","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/435.JPG","2010 (bronce)","DISTRITO CENTRO"
775,"Monumento conmemorativo bicentenario Muelle de las Palmas (ancla)","Jardines calle Muelle de las Palmas",,"Muelle Las Palmas","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/775.JPG","30 de mayo de 2011 (inauguración)","DISTRITO CENTRO"
351,"Máter Ínsula","Juan Márquez Peñate","http://www.mcnbiografias.com/app-bio/do/show?key=marquez-pennate-juan","Jardines acceso al antiguo Muelle Grande","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/351.JPG","C. 1951-1956","DISTRITO PUERTO - CANTERAS"
354,"Marineros","Pedro Barral",,"Cl. Juan Rejón","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/354.JPG","C. 1956","DISTRITO PUERTO - CANTERAS"
356,"Busto de Don Juan de León y Castillo","Pedro Barral",,"Jardines de acceso al antiguo Muelle Grande","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/356.JPG",1958,"DISTRITO PUERTO - CANTERAS"
371,"Monumento a Belén María","Federico Hernández Corujo ""Fillo""",,"Plaza de Belén María","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/371.JPG",1982,"DISTRITO PUERTO - CANTERAS"
373,"Busto de Saulo Torón","Juan Jaen Díaz","http://canariosenelmundo.com/gente/biografias/biografia-del-escultor-canario-venezolano-juan-jaen-diaz/","Cl. Sagasta. Paseo de las Canteras","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/373.JPG",1982,"DISTRITO PUERTO - CANTERAS"
376,"Busto del Doctor Don Apolinario Macías","Juan Delgado",,"Paseo de las Canteras","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/376.JPG",1987,"DISTRITO PUERTO - CANTERAS"
378,"Hombre, Pájaro, Avión","Alfonso Sard Sánchez",,"Paseo de las Canteras","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/378.JPG",1998,"DISTRITO PUERTO - CANTERAS"
379,"La mujer y su sombra","César Manrique",,"Paseo de las Canteras","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/379.JPG","C.  Década de los 90 (Siglo XX)","DISTRITO PUERTO - CANTERAS"
382,"Monumento a las Olimpiadas de Barcelona’ 92","Juan Antonio Giraldo","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=626&Itemid=736","Cl Eduardo Benot – Cl Pedro Castillo Westerling","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/382.JPG",1992,"DISTRITO PUERTO - CANTERAS"
385,"Pirámide del Paseo de Las Canteras","Anónimo",,"Paseo de las Canteras Nº 19","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/385.JPG",1993,"DISTRITO PUERTO - CANTERAS"
387,"Los niños de la barra","Juan Bordes Caballero","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=569&Itemid=679","Paseo de Las Canteras – Calle Sagasta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/387.JPG",1993,"DISTRITO PUERTO - CANTERAS"
388,"Los niños de la barra","Juan Bordes Caballero","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=569&Itemid=679","Paseo de Las Canteras – Calle Sagasta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/388.JPG",1993,"DISTRITO PUERTO - CANTERAS"
389,"Los niños de la barra","Juan Bordes Caballero","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=569&Itemid=679","Paseo de Las Canteras – Calle Sagasta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/389.JPG",1993,"DISTRITO PUERTO - CANTERAS"
390,"Los niños de la barra","Juan Bordes Caballero","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=569&Itemid=679","Paseo de Las Canteras – Calle Sagasta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/390.JPG",1993,"DISTRITO PUERTO - CANTERAS"
392,"Monumento a Juan Rodríguez Doreste","Santiago Vargas Jorge",,"Parque Juan Rodríguez Doreste – Calle Nicolás Estévanez – Autovía","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/392.JPG","C. 1994","DISTRITO PUERTO - CANTERAS"
397,"Busto de ""Pepe"" Gonçálvez","Tony Gallardo","http://www.tonygallardo.com","Playa de las Canteras – Cl Ferreras","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/397.JPG","1954 (modelo en yeso), 1994 (bronce)","DISTRITO PUERTO - CANTERAS"
398,"Monumento a José Franchy Roca","Juan Trujillo Hernández. Fundido por Eugenio Correa Rijo",,"Cl. Eduardo Benot – Cl Luis Morote","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/398.JPG","C. 1995","DISTRITO PUERTO - CANTERAS"
404,"Juguete del Viento","César Manrique","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=349&Itemid=447","Paseo de las Canteras.  La Puntilla","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/404.JPG",1991,"DISTRITO PUERTO - CANTERAS"
405,"Monumento a Lolita Pluma","F. Ávila",,"Parque Santa Catalina. Cl. Luis Morote","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/405.JPG",1998,"DISTRITO PUERTO - CANTERAS"
406,"Monumento a Jacques Cousteau","Manuel González","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=631&Itemid=741","Paseo de las Canteras. La Puntilla","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/406.JPG",1998,"DISTRITO PUERTO - CANTERAS"
415,"Monumento a Alfredo Kraus","Víctor Ochoa","http://www.victorochoa.com/","Jardines Puertos Atlánticos. Paseo de las Canteras","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/415.JPG","Circa. 1997","DISTRITO PUERTO - CANTERAS"
460,"Fuente del Parque Santa Catalina.","Anónimo",,"Parque de Santa Catalina","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/460.JPG","C. Década años cuarenta del siglo XX.","DISTRITO PUERTO - CANTERAS"
620,"Reloj de Sol del Parque Santa Catalina","Pedro Romera",,"Parque Santan Catalina.Trasera Eificio Elder","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/620.JPG",1999,"DISTRITO PUERTO - CANTERAS"
655,"Monumento al Capitán Etayo","José de Armas",,"Parque del Castillo de la Luz","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/655.JPG",1993,"DISTRITO PUERTO - CANTERAS"
667,"Monumento a Luis Morote Greus","Francisca Melián Chirino","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=507&Itemid=615","Calle  Luis Morote","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/667.JPG","Circa 1994","DISTRITO PUERTO - CANTERAS"
698,"Niños jugando con agua","Ana Luisa Benítez","http://www.analuisabenitez.com/","Plazoleta de Farray","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/698.JPG",2003,"DISTRITO PUERTO - CANTERAS"
700,"El pescador","Chano Navarro","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=346&Itemid=444","Paseo de las Canteras – Cl Olof Palme – Plaza de Las Vanguardias","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/700.JPG",2003,"DISTRITO PUERTO - CANTERAS"
701,"Escultura ""Homenaje a la travesía de la Peña la Vieja""","Miguel Panadero Escala","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=41&Itemid=86","Paseo de las Canteras – Cl Pelayo","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/701.JPG",2003,"DISTRITO PUERTO - CANTERAS"
728,"Monumento a Mary Sánchez","Ana Luisa Benítez","http://www.analuisabenitez.com/","Paseo de Las Canteras - Cl. Salvador Cuyás","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/728.JPG",2005,"DISTRITO PUERTO - CANTERAS"
734,"""Héroes solidarios"" -  Homenaje a los trabajadores fallecidos en accidente laboral","Etual Ojeda","http://etualojeda.arte.tel/","Paseo de las Canteras – El Rincón","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/734.JPG",2006,"DISTRITO PUERTO - CANTERAS"
735,"Cambullonero","Luis Alemán Montull","http://www.cayomecenas.com/mecenas1403.htm","Jardines del Castillo de la Luz","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/735.JPG",2006,"DISTRITO PUERTO - CANTERAS"
738,"Juan Cazallas ""El Chacalote""","Sebastián Navarro Betancor","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=346&Itemid=444","Paseo de las Canteras. La Puntilla","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/738.JPG",2006,"DISTRITO PUERTO - CANTERAS"
754,"Luminarias de los Puertos Atlánticos (Proa, Noray, Ancla y     Chimenea)","Oscar Tusquets","http://es.wikipedia.org/wiki/%C3%93scar_Tusquets","Jardines de los Puertos Atánticos","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/754.JPG","1997 - reproducidas en 2010","DISTRITO PUERTO - CANTERAS"
786,"Raíces","Salvador Gil Clemente",,"Calle Profesor Lozano. Rotonda","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/786.JPG",2012,"DISTRITO PUERTO - CANTERAS"
788,"Luces en el vacío","Juan Velázquez Padrón e Iván S. Rodríguez Cabrera",,"Paseo de las Canteras - C/ Gordillo","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/788.JPG",2010,"DISTRITO PUERTO - CANTERAS"
802,"Busto del tenor Suso Mariategui","Santiago Vargas Jorge",,"Paseo de las Canteras - Cl Gomera","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/802.JPG",2011,"DISTRITO PUERTO - CANTERAS"
347,"Monumento a Fernando León y Castillo","Mariano Benlliure","http://es.wikipedia.org/wiki/Mariano_Benlliure","Paseo de Chil – Parque Doramas","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/347.JPG",1926,"DISTRITO CIUDAD ALTA"
